PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_ROOM,PARK_FACIL,Estimate
P09339,T Nagar,1799,125,4,Yes,5556970
P03381,Karapakkam,1143,16,3,No,2782350
P08655,Chrompet,1300,183,4,Yes,3555960
P02719,Karapakkam,841,66,2,No,2525990
P06426,Chrompet,988,190,3,Yes,3145730
P06890,KK Nagar,2059,24,5,Yes,4370360
P02086,Karapakkam,1397,99,4,No,2582220
P00830,Chrompet,933,17,3,No,1798840
P06941,KK Nagar,2124,154,5,No,8116720
P02557,Karapakkam,1665,41,4,No,4491530
P07158,Velachery,1588,134,4,No,5203980
P08899,Chrompet,1110,119,3,Yes,2647850
P10027,Velachery,1853,138,5,Yes,3281700
P03382,Karapakkam,596,45,2,No,1244530
P02619,Karapakkam,1412,81,4,No,4945810
P01966,Chrompet,1244,193,4,Yes,4548520
P01898,KK Nagar,1851,178,5,No,7176870
P08328,T Nagar,1845,58,5,No,4854060
P08153,Adyar,815,19,3,No,3403720
P03374,Karapakkam,973,195,3,Yes,2272570
P02884,Karapakkam,1430,162,4,Yes,4921630
P04956,Karapakkam,1674,180,4,No,3088680
P03101,Chrompet,1036,34,3,No,2290280
P02129,Karapakkam,1626,45,4,No,3633000
P08409,Anna Nagar,1807,98,5,No,3521370
P04789,Velachery,1814,182,5,Yes,3650980
P06595,Anna Nagar,1834,89,5,No,5120390
P08818,Anna Nagar,1774,186,4,Yes,6688940
P00049,Anna Nagar,1519,147,4,Yes,6554120
P08666,Chrompet,1222,173,4,No,3857240
P05554,Velachery,1504,99,4,No,4194150
P07193,KK Nagar,2414,129,6,Yes,6580510
P09408,Adyar,897,77,3,Yes,3782180
P04719,Velachery,1996,155,5,Yes,3843150
P04932,Velachery,1665,24,4,No,2348150
P08708,Anna Nagar,1768,1,4,Yes,7376170
P02340,KK Nagar,1602,32,4,No,6050900
P03249,KK Nagar,2461,102,6,No,4949720
P06831,KK Nagar,1830,134,5,No,4216720
P08001,Chrompet,823,14,3,No,2384610
P03973,Karapakkam,677,19,2,Yes,1519180
P00444,Chrompet,875,159,3,Yes,3474240
P04158,Velachery,1581,99,4,No,3246000
P05855,KK Nagar,2330,16,6,Yes,4637030
P07262,KK Nagar,2284,86,6,No,4507050
P05559,Karapakkam,632,134,2,Yes,2183420
P05021,Adyar,966,130,3,Yes,3423660
P04934,KK Nagar,2277,0,6,No,7404730
P04829,Karapakkam,675,113,2,No,2596590
P00660,Chrompet,755,20,2,Yes,2897180
P03892,KK Nagar,1395,163,4,Yes,4377640
P01406,Chrompet,722,0,2,No,2526310
P01094,Chrompet,982,91,3,Yes,2566090
P05683,Velachery,1814,160,5,No,3543250
P07631,Chrompet,1123,199,3,No,2858550
P00484,Anna Nagar,1639,74,4,No,4721320
P05440,Karapakkam,910,139,3,No,2858240
P04666,Anna Nagar,1814,176,5,Yes,4717850
P08189,Adyar,732,108,2,No,3420980
P09308,Velachery,1661,68,4,No,2199790
P05750,KK Nagar,1601,180,4,No,4634680
P00197,Chrompet,791,70,2,Yes,3742560
P01039,Chrompet,1159,171,3,No,3177350
P09092,Velachery,1616,136,4,No,2572700
P06411,Chrompet,767,25,2,No,2396800
P04634,Karapakkam,650,149,2,Yes,2880270
P09504,Anna Nagar,1580,112,4,No,5688070
P01248,Chrompet,757,176,2,No,2441040
P00972,T Nagar,1897,42,5,No,4887330
P00715,Chrompet,1023,157,3,No,3093060
P02242,T Nagar,1632,67,4,No,3615130
P07921,Chrompet,913,148,3,Yes,2407400
P00696,Chrompet,1251,66,4,No,3809320
P08880,Chrompet,907,34,3,Yes,2617120
P07657,Adyar,1078,29,3,No,2260140
P06355,Karapakkam,908,152,3,No,2300850
P06033,Karapakkam,1635,18,4,No,2488540
P00383,Chrompet,705,42,2,No,1887820
P09085,T Nagar,1681,109,4,No,6718640
P06524,Karapakkam,1276,25,3,No,2729270
P01567,KK Nagar,2100,65,5,Yes,4650520
P09132,Chrompet,756,145,2,No,2000430
P00940,T Nagar,1966,54,5,No,4890820
P08171,Anna Nagar,1722,7,4,Yes,5141640
P00456,T Nagar,1626,72,4,No,4840990
P04128,Velachery,1981,164,5,No,2393830
P02328,Anna Nagar,1728,23,4,Yes,4004680
P00793,Anna Nagar,1943,187,5,Yes,4655700
P02409,KK Nagar,1417,37,4,No,2797140
P01064,Chrompet,1183,185,3,Yes,4374330
P05038,KK Nagar,1357,5,4,No,3715240
P05479,Chrompet,870,29,3,No,2267460
P00326,Chrompet,799,7,2,Yes,2543070
P00974,Chrompet,799,183,2,Yes,2379850
P05278,KK Nagar,1923,132,5,Yes,4021070
P08168,Chrompet,949,190,3,Yes,2863390
P05103,KK Nagar,2259,193,6,Yes,4901860
P04646,KK Nagar,1497,99,4,No,4137590
P08299,Anna Nagar,1582,5,4,No,4272460
P00859,Chrompet,1212,6,4,Yes,3150410
P02708,Karapakkam,591,28,2,Yes,2147400
P09223,Chrompet,1156,60,3,Yes,2657190
P03765,Chrompet,850,33,3,No,2718130
P03835,Anna Nagar,1882,104,5,Yes,4371040
P02787,KK Nagar,2020,129,5,Yes,5550290
P00567,Anna Nagar,1712,150,4,No,8132640
P01184,Anna Nagar,1765,28,4,Yes,8308140
P04181,Karapakkam,1024,46,3,Yes,2685150
P01221,Anna Nagar,1694,199,4,Yes,4642360
P09360,Velachery,1688,200,4,No,3094300
P07530,Chrompet,869,30,3,No,3223260
P04603,Karapakkam,1309,131,3,No,2969510
P01306,Chrompet,856,132,3,Yes,2724710
P08283,Anna Nagar,1571,148,4,Yes,6552620
P05162,T Nagar,1536,110,4,No,3382340
P09889,Velchery,1749,143,4,Yes,4286710
P09432,Chrompet,1216,59,4,Yes,2944720
P01524,KK Nagar,2421,21,6,No,8508220
P07172,Velachery,1590,15,4,Yes,4445880
P03266,Karapakkam,1557,120,4,Yes,3145620
P07889,Adyar,1216,190,4,Yes,3836960
P04431,Karapakkam,1507,174,4,No,3323780
P01797,Karapakkam,1147,162,3,Yes,3350160
P00268,Chrompet,1142,96,3,No,3716220
P08897,Chrompet,1004,87,3,No,3908600
P04788,Karapakkam,523,38,2,Yes,2954450
P08215,Chrompet,771,161,2,No,3379550
P03595,KK Nagar,1565,124,4,No,4568430
P01202,Chrompet,1270,99,4,No,3755150
P01297,T Nagar,1975,140,5,No,4373150
P00618,Anna Nagar,1777,168,4,No,5036640
P05952,KK Nagar,2484,138,6,Yes,6712210
P00102,T Nagar,1975,141,5,Yes,5215630
P09921,Velachery,1950,93,5,Yes,5463730
P09040,Chrompet,1193,2,3,Yes,4311810
P01561,T Nagar,1581,33,4,Yes,5903320
P03040,Karapakkam,1593,1,4,Yes,4998210
P01726,Karapakkam,1558,70,4,Yes,2871980
P08303,KK Nagar,1517,151,4,Yes,4734910
P08679,Adyar,1279,30,4,No,2730620
P00044,Chrompet,1246,127,4,No,3615960
P03533,Karapakkam,1050,56,3,No,2185760
P04424,Velachery,1888,19,5,Yes,3255620
P04909,KK Nagar,2400,12,6,Yes,6392380
P00235,Anna Nagar,1569,167,4,Yes,3085200
P05419,Karapakkam,1605,198,4,No,3894420
P05054,Chrompet,1280,94,4,Yes,2637660
P03596,Karapakkam,920,187,3,No,2281130
P07307,T Nagar,1687,35,4,Yes,4550230
P05807,KK Nagar,1609,3,4,No,3694630
P05815,Karapakkam,1530,29,4,No,2229230
P09586,Velachery,1621,191,4,No,4081790
P07811,Velachery,1852,99,5,No,2906610
P06349,Velachery,1629,190,4,No,2088310
P02253,Karapakkam,1374,154,4,No,3136660
P02795,KK Nagar,2398,52,6,Yes,6032750
P06160,Karapakkam,664,51,2,No,807920
P00762,Anna Nagar,1704,24,4,Yes,6231510
P00731,Anna Nagar,1746,21,4,No,4597200
P02460,Karapakkam,1439,20,4,No,3610870
P03135,Chrompet,1283,142,4,Yes,4185290
P00013,Chrompet,1187,38,3,Yes,2503200
P02202,Velachery,1742,49,4,Yes,3210600
P05706,T Nagar,1543,64,4,Yes,6977780
P06135,Velachery,1807,140,5,No,3116730
P05349,KK Nagar,2104,20,5,Yes,5632690
P06331,Karapakkam,677,114,2,Yes,2933330
P03673,Anna Nagar,1744,45,4,No,2974010
P07108,KK Nagar,1502,38,4,No,4475130
P03471,Adyar,701,194,2,Yes,3074090
P06194,Adyar,808,169,3,No,3393710
P05433,Chrompet,743,186,2,No,2078310
P03263,Chrompet,1065,116,3,Yes,3014000
P05463,Velachery,1870,179,5,No,3789480
P02095,Adyar,1092,84,3,Yes,2734660
P04411,Karapakkam,518,32,2,No,1861020
P02266,Anna Nagar,1929,71,5,No,4471480
P04589,Karapakkam,573,65,2,Yes,2448320
P02187,Adyar,1174,80,3,Yes,5135940
P03438,Velachery,1665,122,4,Yes,4260750
P09224,Chrompet,749,106,2,No,2818180
P08410,Adyar,1044,61,3,No,2830250
P09790,Velachery,1693,6,4,Yes,3627670
P09729,Velachery,1790,126,4,No,3873460
P04857,Karapakkam,566,66,2,Yes,3746890
P06887,Chrompet,925,90,3,No,3491960
P04640,Karapakkam,914,43,3,Yes,3587900
P00207,Chrompet,1223,128,4,No,3185820
P03508,Karapakkam,1371,60,4,No,2507860
P05938,Adyar,702,70,2,No,1957700
P03547,Velachery,1509,143,4,Yes,5246420
P05288,Karapakkam,886,8,2,No,2484090
P05420,Karapakkam,526,75,2,No,1519120
P02326,Adyar,789,17,2,Yes,4475770
P06785,Velachery,2000,72,5,No,3540430
P07151,Anna Nagar,1644,62,4,No,3229440
P04014,KK Nagar,1545,142,4,No,6467420
P08263,Adyar,1240,130,4,No,3901960
P07365,KK Nagar,2316,193,6,Yes,6290000
P09960,Velachery,1959,35,5,Yes,3255360
P02196,Karapakkam,1187,96,3,No,3189590
P07441,Chrompet,1032,10,3,Yes,2215990
P09069,Velachery,1643,42,4,Yes,5461230
P05937,Velachery,1591,142,4,Yes,2534660
P05930,KK Nagar,1742,143,4,No,3849720
P01100,Chrompet,1295,190,4,Yes,3524680
P03395,Adyar,949,98,3,Yes,4050210
P07971,KK Nagar,1542,65,4,Yes,3706590
P04746,Adyar,709,89,2,Yes,3061980
P08162,Chrompet,809,196,3,Yes,3367760
P07666,Adyar,607,143,2,Yes,2865810
P04537,Karapakkam,844,62,2,No,3190300
P03593,T Nagar,1689,71,4,Yes,4996170
P01054,Anna Nagar,1578,179,4,Yes,5141460
P07884,Velachery,1914,97,5,Yes,4757620
P01290,Chrompet,1085,159,3,Yes,3064300
P00320,T Nagar,1678,38,4,No,4421510
P04621,Karapakkam,1293,24,3,Yes,2610950
P03877,T Nagar,1534,62,4,Yes,5407870
P06541,Anna Nagar,1581,13,4,No,3160340
P08952,Chrompet,705,168,2,Yes,2479390
P04902,Chrompet,1076,51,3,No,2078010
P01800,Velachery,1926,139,5,No,3419940
P08866,T Nagar,1627,52,4,Yes,4575110
P04898,Karapakkam,822,122,2,No,3241150
P09112,Velachery,1808,170,5,No,3973880
P04962,T Nagar,1626,22,4,Yes,4134070
P09567,Velachery,1553,160,4,Yes,4492050
P04072,Karapakkam,870,96,2,Yes,3545800
P07859,Anna Nagar,1792,155,4,No,4245600
P09852,Velachery,1722,139,4,Yes,3657540
P09042,T Nagar,1923,48,5,Yes,5173650
P01141,Chrompet,1070,136,3,No,2653040
P00805,Chrompet,723,181,2,Yes,2621850
P05860,T Nagar,1902,11,5,Yes,6240160
P03638,KK Nagar,2026,110,5,No,8422920
P05972,Anna Nagar,1798,34,4,Yes,3501720
P09829,Velachery,1931,45,5,Yes,6195300
P07286,KK Nagar,1975,172,5,No,3746780
P01416,Chrompet,1197,33,3,No,2079540
P02104,Adyar,683,98,2,Yes,3087730
P03028,Karapakkam,1128,197,3,Yes,3379110
P07450,Chrompet,1151,170,3,Yes,2058260
P08176,Chrompet,1098,124,3,No,2722320
P06305,Karapakkam,1024,15,3,No,3198390
P01242,Chrompet,1212,28,4,Yes,4225050
P02341,KK Nagar,1887,80,5,No,3783800
P01842,Karapakkam,889,178,3,Yes,2173190
P06403,Chrompet,1157,46,3,No,2641530
P07301,Chrompet,753,4,2,Yes,2487630
P09454,Chrompet,784,158,2,No,2505120
P02514,Adyar,672,195,2,Yes,2136400
P01440,Adyar,783,160,2,Yes,3638920
P07960,KK Nagar,1947,75,5,No,3688700
P07390,KK Nagar,1414,61,4,No,3514600
P08137,Adyar,949,168,3,No,4419100
P02599,Velachery,1511,54,4,Yes,4253890
P07625,KK Nagar,1515,149,4,No,3508510
P07970,T Nagar,1589,104,4,Yes,4721400
P00038,Anna Nagar,1655,10,4,Yes,4705910
P07030,Velachery,1576,133,4,Yes,3319590
P03591,KK Nagar,2500,43,6,No,4270780
P00492,Chrompet,1258,196,4,No,2701560
P05265,Chrompet,948,84,3,Yes,3592060
P09261,Velachery,1734,134,4,No,3193470
P09858,Velachery,1690,60,4,Yes,3540560
P04062,Karapakkam,738,108,2,No,2197650
P00260,Chrompet,1168,79,3,Yes,3973060
P01610,Karapakkam,523,127,2,Yes,3577820
P05645,KK Nagar,1356,80,4,Yes,3518140
P00336,Anna Nagar,1867,178,5,Yes,5740460
P07797,Velachery,1913,164,5,Yes,4597500
P02312,Anna Nagar,1905,118,5,No,3733750
P04276,Chrompet,1270,74,4,Yes,3606160
P05730,Adyar,1283,90,4,Yes,4853670
P02704,T Nagar,1507,123,4,Yes,5297980
P00232,Chrompet,821,49,3,No,2342340
P07615,Adyar,758,38,2,No,3006010
P06795,T Nagar,1937,58,5,No,4495610
P06949,Chrompet,1116,80,3,No,2288840
P04559,KK Nagar,1527,84,4,No,3909760
P05689,KK Nagar,1551,67,4,Yes,5428390
P04881,T Nagar,1729,72,4,No,5743980
P05848,Karapakkam,1462,53,4,Yes,3295160
P05839,Velachery,1645,81,4,Yes,3861600
P04496,Velachery,1918,161,5,Yes,5160950
P08638,T Nagar,1872,35,5,No,8246200
P09949,Velachery,1933,100,5,Yes,3465000
P09995,Velachery,1607,193,4,Yes,3372170
P08243,KK Nagar,1510,190,4,No,3452890
P02538,Velachery,1817,156,5,No,3718940
P07590,Anna Nagar,1527,68,4,Yes,2884590
P00710,Anna Nagar,1933,100,5,Yes,6137000
P02942,Adyar,1279,5,4,Yes,2947810
P03092,Karapakkam,907,3,3,Yes,2453920
P07694,KK Nagar,1405,1,4,Yes,3233290
P03788,Karapakkam,1129,40,3,No,2998300
P08111,Velachery,1603,87,4,Yes,3129500
P09810,Velachery,1963,74,5,No,4332350
P06309,Anna Nagar,1997,86,5,No,4944720
P02728,Adyar,939,49,3,Yes,3818970
P07655,Adyar,905,59,3,Yes,4515320
P00124,Chrompet,1292,8,4,Yes,3215850
P02546,Velachery,1703,131,4,No,4898680
P08013,T Nagar,1878,143,5,No,8509260
P01044,Anna Nagar,1534,94,4,Yes,3006290
P02295,Adyar,747,60,2,Yes,3244900
P10011,Velachery,1949,169,5,No,4424780
P08259,Chrompet,1011,52,3,No,2709140
P01716,Adyar,740,130,2,Yes,2807240
P04251,Karapakkam,629,89,2,No,1232180
P08497,Velachery,1730,72,4,No,4942820
P00835,Chrompet,703,77,2,No,2619590
P00996,Chrompet,1209,48,4,Yes,2507490
P09897,Velachery,1561,171,4,Yes,3483870
P05993,KK Nagar,2400,197,6,No,7219800
P09757,Velachery,1589,62,4,Yes,3311060
P04654,KK Nagar,1390,58,4,Yes,5108550
P03643,Chrompet,883,185,3,No,3189660
P05939,KK Nagar,2423,113,6,No,7102720
P01192,Anna Nagar,1895,197,5,Yes,4675720
P03238,Chrompet,1201,27,4,No,4249390
P05146,Karapakkam,1092,68,3,No,4420910
P07037,T Nagar,1658,159,4,No,3981540
P07214,KK Nagar,1547,10,4,No,6321020
P01461,Adyar,1162,19,3,Yes,3613490
P01648,Karapakkam,1401,42,4,No,2036710
P02175,KK Nagar,1558,182,4,No,5664750
P04120,Karapakkam,909,70,3,No,2237540
P05988,Adyar,957,141,3,No,3573890
P05721,Karapakkam,1664,137,4,Yes,4171680
P04464,Anna Nagar,1650,178,4,No,5134030
P01630,Karapakkam,881,15,2,No,2034380
P00091,Chrompet,746,18,2,Yes,2678280
P09356,Chrompet,1053,110,3,No,2724280
P02683,Karapakkam,1211,188,3,No,2866960
P03759,Anna Nagar,1990,181,5,No,3546750
P06093,Chrompet,1300,198,4,No,2996110
P03388,Velachery,1655,0,4,Yes,4703560
P09467,Adyar,710,177,2,No,1778910
P09859,Velachery,1884,189,5,No,2882040
P09609,Velachery,1520,153,4,Yes,3807590
P04896,KK Nagar,1498,160,4,Yes,4724160
P05949,Anna Nagar,1892,122,5,Yes,3999570
P02002,Karapakkam,638,5,2,Yes,1997570
P06714,Chrompet,780,88,2,No,3133280
P08095,Anna Nagar,1942,49,5,No,3654930
P01638,Karapakkam,1424,171,4,No,4106510
P00202,Chrompet,1225,126,4,Yes,2809000
P01621,Chrompet,1248,13,4,No,3005420
P09424,Velachery,1773,190,4,Yes,3451450
P00490,Chrompet,857,38,3,Yes,3729970
P04205,Karapakkam,1640,89,4,Yes,4461210
P02379,KK Nagar,2396,61,6,Yes,4381180
P06620,Karapakkam,1626,10,4,No,4677900
P09646,Velachery,1553,187,4,No,4464110
P05688,KK Nagar,1317,182,3,Yes,4008570
P08878,Chrompet,759,59,2,No,2251520
P01466,T Nagar,1799,160,4,Yes,3072780
P01940,Karapakkam,900,145,3,No,2285690
P09840,Velachery,1859,2,5,No,4537650
P03990,Chrompet,1077,83,3,Yes,4525750
P09602,Velachery,1670,163,4,Yes,3241980
P09774,Velachery,1922,103,5,Yes,3562740
P06268,Chrompet,920,94,3,No,2373380
P04017,Karapakkam,1244,15,3,No,2767170
P06385,Karapakkam,1356,132,4,No,5007380
P00024,Chrompet,985,155,3,Yes,2970920
P02663,Velachery,1908,88,5,No,3672900
P03312,Velachery,1932,76,5,Yes,4058440
P04039,Chrompet,1022,162,3,Yes,3456440
P08623,Adyar,1106,163,3,Yes,2500920
P02068,Adyar,1268,142,4,Yes,4831550
P00985,Anna Nagar,1630,175,4,Yes,5526870
P01659,Velachery,1500,9,4,No,3879160
P00104,Anna Nagar,1594,171,4,Yes,6421850
P02958,KK Nagar,1858,200,5,Yes,5736490
P07934,Chrompet,1237,197,4,Yes,5053020
P00440,Chrompet,1292,69,4,Yes,4378120
P02043,Chrompet,985,95,3,No,3934960
P04689,Velachery,1540,39,4,Yes,5305830
P02836,Velachery,1975,80,5,No,3288510
P06335,Velachery,1605,191,4,No,4087470
P08934,Chrompet,1043,80,3,No,2429330
P04671,Anna Nagar,1551,146,4,Yes,4744700
P05317,Karapakkam,794,191,2,No,1395120
P03701,KK Nagar,1389,116,4,No,3051750
P06070,Anna Nagar,1932,197,5,Yes,5581110
P08116,Adyar,794,133,2,Yes,2406690
P05140,Chrompet,1242,40,4,No,2423920
P01373,T Nagar,1752,27,4,Yes,4030710
P02628,KK Nagar,1603,181,4,Yes,4364010
P04773,Chrompet,703,61,2,Yes,2455740
P09842,Velachery,1776,121,4,Yes,6240580
P03099,KK Nagar,2060,40,5,No,6040370
P09083,Adyar,1077,167,3,Yes,5302920
P03650,KK Nagar,2189,176,5,No,5754560
P03539,Karapakkam,1104,10,3,Yes,4326420
P03275,Karapakkam,778,77,2,No,1628190
P03380,KK Nagar,1592,148,4,No,5007500
P03937,Karapakkam,537,77,2,No,2237790
P08991,T Nagar,1761,82,4,No,7209120
P00497,Chrompet,843,96,3,Yes,3268240
P00592,Chrompet,1108,8,3,Yes,2840500
P06365,KK Nagar,2183,52,5,No,3432530
P00271,Anna Nagar,1675,150,4,Yes,3948050
P03477,Adyar,951,82,3,No,2095940
P05922,Chrompet,1021,117,3,No,2955730
P08761,Anna Nagar,1723,111,4,No,4014760
P08734,Velachery,1846,35,5,No,3961210
P08183,Chrompet,732,8,2,No,2160380
P07804,Velachery,1531,169,4,Yes,5042030
P05385,Karapakkam,560,160,2,No,1915830
P02614,Velachery,1752,1,4,No,3106200
P03042,Karapakkam,1173,182,3,No,3179440
P07999,KK Nagar,2327,95,6,Yes,5903280
P08510,Velachery,1561,9,4,Yes,4342420
P00318,Anna Nagar,1825,63,5,No,5087740
P03605,T Nagar,1885,187,5,No,4934750
P00417,T Nagar,1602,12,4,No,6997180
P07324,T Nagar,1934,190,5,Yes,8511780
P07491,Adyar,1288,48,4,No,3488010
P01969,T Nagar,1803,168,5,No,3441640
P03364,Chrompet,1175,128,3,No,4102310
P04864,Karapakkam,760,139,2,No,1758150
P06176,Karapakkam,1344,68,4,No,4122110
P05545,Karapakkam,1413,154,4,Yes,4813040
P04265,Velachery,1891,155,5,Yes,6342100
P09759,Velachery,1766,126,4,No,2509850
P01311,Chrompet,1182,81,3,Yes,3744350
P08957,Chrompet,1267,49,4,Yes,3603300
P05178,Karapakkam,1130,24,3,Yes,3982750
P05903,Karapakkam,961,200,3,No,2520550
P08204,KK Nagar,2434,104,6,Yes,6228170
P09487,Velachery,1787,151,4,No,2355030
P00333,Chrompet,795,63,2,Yes,1960060
P04429,Karapakkam,597,135,2,No,1288100
P08606,Adyar,1277,183,4,Yes,3288510
P08521,T Nagar,1710,61,4,Yes,6904130
P01348,Chrompet,941,30,3,No,1839380
P09547,Adyar,1202,43,4,No,4640940
P01228,Anna Nagar,1933,42,5,No,4857430
P03920,Karapakkam,1370,99,4,Yes,3495170
P06086,KK Nagar,1399,125,4,Yes,6255270
P00059,Chrompet,1189,127,3,No,2156450
P02949,Karapakkam,1046,45,3,No,2790690
P06025,Karapakkam,570,151,2,Yes,2336690
P03424,T Nagar,1738,103,4,Yes,4228840
P05089,Adyar,1290,112,4,Yes,4732940
P00348,Chrompet,830,64,3,No,3017140
P09247,Chrompet,1239,190,4,No,2155560
P04547,T Nagar,1686,54,4,Yes,4611720
P07493,Anna Nagar,1984,172,5,Yes,8896310
P07052,Velachery,1521,65,4,No,4209750
P09442,Adyar,1057,170,3,No,4256520
P06829,Anna Nagar,1846,144,5,No,5688620
P06388,Adyar,1212,122,4,No,4032970
P04985,T Nagar,1601,123,4,Yes,4042120
P02152,Chrompet,926,183,3,No,3147030
P01764,T Nagar,1835,21,5,Yes,5940870
P02666,Adyar,1267,130,4,Yes,3778480
P01696,Karapakkam,1131,45,3,Yes,3230770
P02821,Chrompet,855,115,3,No,3929290
P09878,Velachery,1766,125,4,Yes,4129050
P03075,Karapakkam,543,99,2,Yes,2977350
P08563,Adyar,907,31,3,Yes,2439020
P07271,Adyar,1214,100,4,Yes,3698690
P03483,Velachery,1924,155,5,Yes,6528160
P09437,Velachery,1916,39,5,Yes,3039720
P02491,Anna Nagar,1806,43,5,No,3214940
P04193,Karapakkam,1689,175,4,Yes,4868030
P09716,Velachery,1960,96,5,No,3722040
P05887,Karapakkam,1354,106,4,Yes,2511800
P04454,KK Nagar,1551,73,4,Yes,3290860
P06170,Karapakkam,586,197,2,No,1852620
P03530,KK Nagar,1727,46,4,No,4570060
P09877,Velachery,1984,135,5,Yes,3121390
P06852,KK Nagar,1920,7,5,No,7490080
P05933,KK Nagar,2037,132,5,Yes,5072340
P00657,Chrompet,772,39,2,Yes,2233880
P06748,Chrompet,1288,84,4,No,2665390
P07013,Chrompet,985,60,3,No,2811620
P05649,Chrompet,894,25,3,Yes,3135350
P06061,Velachery,1537,160,4,Yes,3407470
P02790,Velachery,1813,110,5,Yes,3982770
P02410,KK Nagar,1589,54,4,Yes,4791320
P09249,Anna Nagar,1830,30,5,Yes,5117040
P09635,Velachery,1625,78,4,Yes,3845900
P08185,KK Nagar,1857,152,5,Yes,5092250
P03057,Karapakkam,1002,183,3,Yes,3057360
P00799,Anna Nagar,1877,47,5,Yes,5393910
P01960,Anna Nagar,1511,33,4,No,7120860
P06526,Adyar,755,60,2,No,2906420
P04692,Karapakkam,877,177,2,Yes,2326540
P01304,Chrompet,1090,103,3,No,4310780
P05581,Velachery,1684,4,4,No,4225020
P07533,Chrompet,989,104,3,No,2098640
P06659,Anna Nagar,1598,78,4,No,3386100
P03632,Karapakkam,1333,134,4,No,2341570
P09125,Velachery,1654,64,4,No,2934460
